player,p1_id,p1_health,p1_x,p1_y,p1_jumping,p1_crouching,p2_id,p2_health,p2_x,p2_y,p2_jumping,p2_crouching,timer,is_round_over,up,down,left,right,A,B,X,Y,start,select,L,R,p1_move_0,p1_move_1,p1_move_2,p1_move_3,p1_move_4,p1_move_5,p2_move_0,p2_move_1,p2_move_2,p2_move_3,p2_move_4,p2_move_5
1,0,100,386,192,0,0,4,100,188,161,0,0,97,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
1,4,74,258,192,0,0,2,100,237,104,0,0,115,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
2,10,4,43,194,0,0,9,100,230,192,0,0,41,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1
2,4,54,130,192,0,0,4,95,207,180,0,0,28,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
1,4,100,161,194,0,0,4,100,216,192,0,0,62,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1
1,10,100,179,192,0,0,5,100,240,192,0,0,84,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1
2,0,100,248,193,0,0,4,94,195,186,0,0,8,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0
1,3,100,95,170,0,0,7,100,314,192,0,0,41,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1
1,6,100,47,178,0,0,7,100,209,184,0,0,32,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
1,4,100,162,192,0,0,4,100,244,192,0,0,41,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1
1,0,99,233,191,0,0,0,100,453,183,0,0,95,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
1,4,74,192,192,0,0,2,100,228,157,0,0,118,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
1,4,69,351,192,0,0,4,100,240,192,0,0,97,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1
2,0,70,264,194,0,0,4,80,392,192,0,0,91,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0
2,10,36,430,175,0,0,9,100,80,181,0,0,12,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1
1,3,100,129,192,0,0,7,100,306,192,0,0,114,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
2,10,45,70,183,0,0,9,100,290,192,0,0,36,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
2,0,100,322,194,0,0,4,81,120,192,0,0,84,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1
2,4,100,292,185,0,0,4,100,145,190,0,0,110,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1
1,6,100,95,192,0,0,7,100,171,192,0,0,87,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1,0,100,298,149,0,0,4,79,96,192,0,0,33,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
1,0,100,350,192,0,0,4,84,141,192,0,0,57,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1
1,0,71,399,175,0,0,4,63,224,192,0,0,48,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1,0,100,330,194,0,0,0,100,325,192,0,0,52,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0
1,0,100,296,194,0,0,0,100,410,180,0,0,103,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0
2,0,100,344,130,0,0,4,80,133,169,0,0,6,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1
1,6,100,236,192,0,0,7,100,310,192,0,0,120,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1,10,100,437,152,0,0,9,100,142,190,0,0,95,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
1,10,96,175,193,0,0,5,100,240,124,0,0,72,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
